title,artist,lyrics,audio_path,genius_url,preview_url,lastfm_tags,vibe,fetch_errors,sources,spotify_id,kaggle_track_name,kaggle_artist,album,valence,energy,tempo,danceability,acousticness,instrumentalness,speechiness,liveness,key,mode,label_source
Before You Go,Lewis Capaldi,"I fell by the wayside like everyone else
I hate you, I hate you, I hate you, but I was just kidding myself
Our every moment, I start to replace
'Cause now that they're gone, all I hear are the words that I needed to say

When you hurt under the surface
Like troubled water running cold
Well, time can heal, but this won't

So before you go
Was there something I coulda said to make your heart beat better?
If only I'da known you had a storm to weather
So before you go
Was there something I coulda said to make it all stop hurting?
It kills me how your mind can make you feel so worthless
So before you go

Was never the right time whenever you called
Went little by little by little until there was nothing at all
Our every moment, I start to replay
But all I can think about is seeing that look on your face

When you hurt under the surface
Like troubled water running cold
Well, time can heal, but this won't

So before you go
Was there something I coulda said to make your heart beat better?
If only I'da known you had a storm to weather
So before you go
Was there something I coulda said to make it all stop hurting?
It kills me how your mind can make you feel so worthless
So before you go

Would we be better off by now
If I'da let my walls come down?
Maybe, I guess we'll never know
You know, you know

Before you go
Was there something I coulda said to make your heart beat better?
If only I'da known you had a storm to weather
So before you go
Was there something I coulda said to make it all stop hurting?
It kills me how your mind can make you feel so worthless
So before you go",,https://genius.com/Lewis-capaldi-before-you-go-lyrics,,,dark,Spotify: 429 Client Error: Too Many Requests for url: https://api.spotify.com/v1/search?q=track%3ABefore+You+Go+artist%3ALewis+Capaldi&type=track&limit=5,genius,7ce20yLkzuXXLUhzIDoZih,Before You Go,Lewis Capaldi,Before You Go,0.183,0.575,111.881,0.459,0.604,0.0,0.0573,0.0885,3.0,1.0,kaggle
La Player (Bandolera),Zion & Lennox,"La Z y la L
Si hasta la luz se apaga sola
Péguese, dale, baile ahora
Pa' soltarse un trago se toma
Esta noche no hay quién la coja
Y si decide quedarse conmigo
Ven para que seas tú misma la testigo
Esto es pa' que vea que aún no la olvido
Solo una cosa te pido
Que si decide quedarse conmigo
Ven para que seas tú misma la testigo
Esto es pa' que vea que aún no la olvido
Solo una cosa te pido

Y dime que te dan
Tu mai, tu pai en tu casa
Lo que hicieron fue una amenaza
Pa' darte, my girl
Tu mai, tu pai en tu casa
Lo que hicieron fue una amenaza

Si hasta la luz se apaga sola
Péguese, dale, baile ahora
Pa' soltarse un trago se toma
Esta noche no hay quién la coja

Y si decide quedarse conmigo
Ven para que seas tú misma la testigo
Esto es pa' que vea que aún no la olvido
Solo una cosa te pido

(Y; shh) péguese y comience (Yeah)
Que yo no quiero que se me estrese
Qué rico lo mueve
Así, repítelo, par de veces (Ah)
Frente a frente, baby, y esto e' un juego
Ponte, vente, que en esto nunca pierdo
Viendo como con tu cuerpo conecto
Toma, disfrútalo, quémalo, lento

Ella es una bandolera (Toma)
Me dijo que estaba soltera (—taba soltera)
Y ahora resulta ser que en su casa la esperan
Ella es una bandolera (Tra, tra, tra; toma)
Me dijo que estaba soltera
Pero resulta ser que en su casa la esperan

Tu mai, tu pai en tu casa
Lo que hicieron fue una amenaza
Pa' darte, my girl
Tu mai, tu pai en tu casa
Lo que hicieron fue una amenaza

Si hasta la luz se apaga sola
Péguese, dale, baile ahora
Pa' soltarse un trago se toma
Esta noche no hay quién la coja (Toma, toma)

Y si decide quedarse conmigo (
Ah)
Ven para que seas tú misma la testigo
Esto es pa' que vea que aún no la olvido
Solo una cosa te pido
Que si decide quedarse conmigo
Ven para que seas tú misma la testigo
Esto es pa' que vea que aún no la olvido
Solo una cosa te pido

Que si tú quiere', nos vemos cuando tú quiera' (Yeah)
Y le cuelgas el teléfono temprano
No se da cuenta que va a dormir él solo
Porque sola no te acuestas
Y no le digo na'
Algo le digo, pero me dijo que tarde lo ha pilla'o en una vuelta
No, no le digo na'
Me volvió a llamar
Uoh-uoh, yeah

Ella es una bandolera
Me dijo que estaba soltera (—taba soltera)
Y ahora resulta ser que en su casa la esperan
Ella es una bandolera
Me dijo que estaba soltera
Pero resulta ser que en su casa la esperan

Si hasta la luz se apaga sola
Péguese, dale, baile ahora (Mamacita)
Pa' soltarse un trago se toma (La Z)
Esta noche no hay quién la coja (Y la L)

Y si decide quedarse conmigo (
Bop, bop)
Ven para que seas tú misma la testigo
Esto es pa' que vea que aún no la olvido
Solo una cosa te pido
Dime-Dime-Dime que te dan
Tu mai, tu pai en tu casa
Lo-Lo que hicieron fue una amenaza
Pa' darte, my girl
Tu mai, tu pai en tu casa
Lo-Lo-Lo que hicieron fue una amenaza

Mamacita
Toma, toma
Z-Diddy
Ah
La Z
Zion, baby
Y la L
And Lennox
Dímelo, Vi
Tainy
Dímelo, Haze
Gaby Music
Diamond Inc
Baby Records",,https://genius.com/Zion-and-lennox-la-player-bandolera-lyrics,,,energetic,Spotify: 429 Client Error: Too Many Requests for url: https://api.spotify.com/v1/search?q=track%3ALa+Player+%28Bandolera%29+artist%3AZion+%26+Lennox&type=track&limit=5,genius,0VKkyBKCXyR99navhVRqcP,La player (Bandolera),Zion & Lennox,La Player (Bandolera),0.602,0.838,93.996,0.769,0.16,0.0,0.0633,0.0935,2.0,1.0,kaggle
Corazón,Maluma,"Alright, alright, baby

Tú me partiste el corazón (Maluma, baby)
Pero, mi amor, no hay problema, no, no (Rudeboyz)
Ahora puedo regalar, un pedacito a cada nena
Sólo un pedacito
Tú me partiste el corazón (Ay mi corazón)
Pero, mi amor, no hay problema, no, no
Ahora puedo regalar (Ya que, ya que), un pedacito a cada nena
Sólo un pedacito

Ya no vengas más con eso' cuentos, mami (Jeje)
Si desde el principio siempre estuve pa' ti (Tú sabe')
Nunca me avisaron cuál era el problema (Oh no)
Te gusta estar rodando por camas ajena', ah-ah (Ey, yeh)
Ahora me tocó a mí cambiar el sistema
Andar con gatas nuevas (All right)
Repartir el corazón sin tanta pena
Ahora te digo ""goodbye""
Muito obrigado, pa' ti ya no hay

Uoh-uoh-uohh, uoh-uoh-uohh
No tengo miedo de decir adiós
Yo quiero repartir meu coração
Uoh-uoh-uohh, uoh-uoh-uohh
Ahora te digo ""goodbye""
Muito obrigado, pa' ti ya no hay
(Maluma, baby)

Você partiu meu coração (Ai, meu coração)
Mas meu amor, não tem problema, não, não
Que agora vai sobrar então (O quê? O quê?)
Un pedacito a cada nena
Sólo un pedacito

Se eu não guardo nem dinheiro
Quem dirá guardar rancor
Você vacilou primeiro
Nosso caso acabou

Uoh-uoh-uohh, uoh-uoh-uohh
No tengo miedo de decir adiós
Yo quiero repartir meu coração
Uoh-uoh-uohh, uoh-uoh-uohh
Ahora te digo ""goodbye""
Muito obrigado, pa' ti ya no hay
(Maluma, baby)

Tú me partiste el corazón (Ay, mi corazón)
Pero, mi amor, no hay problema, no, no
Ahora puedo regalar (Ya que, ya que), un pedacito a cada nena
Sólo un pedacito

Tchau, tchau
Eu não sei falar muito bem português
Mas quero aprender, ajaja
Pretty boy, baby
Dirty boy, baby
Maluma, baby, muá
Tú me partiste el corazón (Maluma, baby)
Pero mi amor no hay problema (Rudeboyz)
Sólo un pedacito (Maluma, baby)",,https://genius.com/Maluma-corazon-lyrics,,,uplifting,Spotify: 429 Client Error: Too Many Requests for url: https://api.spotify.com/v1/search?q=track%3ACoraz%C3%B3n+artist%3AMaluma&type=track&limit=5,genius,4lESS6vuruP6a79KWRaQou,Corazón,Maluma,Corazón,0.765,0.768,98.989,0.871,0.283,2.25e-05,0.122,0.162,4.0,0.0,kaggle
Viva La Vida,Coldplay,"I used to rule the world
Seas would rise when I gave the word
Now in the mornin', I sleep alone
Sweep the streets I used to own

I used to roll the dice
Feel the fear in my enemy's eyes
Listen as the crowd would sing
""Now the old king is dead, long live the king""
One minute, I held the key
Next, the walls were closed on me
And I discovered that my castles stand
Upon pillars of salt and pillars of sand

I hear Jerusalem bells a-ringin'
Roman cavalry choirs are singin'
Be my mirror, my sword and shield
My missionaries in a foreign field
For some reason, I can't explain
Once you'd gone, there was never
Never an honest word
And that was when I ruled the world

It was a wicked and wild wind
Blew down the doors to let me in
Shattered windows and the sound of drums
People couldn't believe what I'd become
And revolutionaries wait
For my head on a silver plate
Just a puppet on a lonely string (
Mmm, mmm
)
Aw, who would ever wanna be king?

I hear Jerusalem bells a-ringin'
Roman cavalry choirs are singin'
Be my mirror, my sword and shield
My missionaries in a foreign field
For some reason, I can't explain
I know Saint Peter won't call my name
Never an honest word
But that was when I ruled the world

Oh-oh-oh, oh-oh, oh
Oh-oh-oh, oh-oh, oh
Oh-oh-oh, oh-oh, oh
Oh-oh-oh, oh-oh, oh

(
Oh-oh-oh, oh-oh, oh
)
Hear Jerusalem bells a-ringin'
(Oh-oh-oh, oh-oh, oh)
Roman cavalry choirs are singin'
(Oh-oh-oh, oh-oh, oh)
Be my mirror, my sword and shield
(Oh-oh-oh, oh-oh, oh)
My missionaries in a foreign field
(Oh-oh-oh, oh-oh, oh)
For some reason, I can't explain
(Oh-oh-oh, oh-oh, oh)
I know Saint Peter won't call my name
Never an honest word
But that was when I ruled the world

Mmm, mmm, mmm, mmm
Mmm, mmm, mmm, mmm
Mmm, mmm",,https://genius.com/Coldplay-viva-la-vida-lyrics,,,dark,Spotify: 429 Client Error: Too Many Requests for url: https://api.spotify.com/v1/search?q=track%3AViva+La+Vida+artist%3AColdplay&type=track&limit=5,genius,1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay,Viva La Vida or Death and All His Friends,0.416,0.619,138.017,0.485,0.0941,3.31e-06,0.0289,0.109,5.0,0.0,kaggle
Karma Police,Radiohead,"Karma police, arrest this man
He talks in maths, he buzzes like a fridge
He's like a detuned radio

Karma police, arrest this girl
Her Hitler hairdo is making me feel ill
And we have crashed her party

This is what you get
This is what you get
This is what you get
When you mess with us

Karma police, I've given all I can
It's not enough, I've given all I can
But we're still on the payroll

This is what you get
This is what you get
This is what you get
When you mess with us

For a minute there
I lost myself, I lost myself
Phew, for a minute there
I lost myself, I lost myself
Oh, for a minute there
I lost myself, I lost myself
Phew, for a minute there
I lost myself, I lost myself",,https://genius.com/Radiohead-karma-police-lyrics,,,dark,Spotify: 429 Client Error: Too Many Requests for url: https://api.spotify.com/v1/search?q=track%3AKarma+Police+artist%3ARadiohead&type=track&limit=5,genius,3SVAN3BRByDmHOhKyIDxfC,Karma Police,Radiohead,OK Computer,0.317,0.505,74.807,0.36,0.0626,9.22e-05,0.026,0.172,7.0,1.0,kaggle
Stairway to Heaven,Led Zeppelin,"There's a lady who's sure all that glitters is gold
And she's buying a stairway to Heaven
When she gets there, she knows if the stores are all closed
With a word, she can get what she came for
Ooh, and she's buying a stairway to Heaven

There's a sign on the wall, but she wants to be sure
'Cause you know sometimes words have two meanings
In a tree by the brook, there's a songbird who sings
Sometimes all of our thoughts are misgiven

Ooh, it makes me wonder
Ooh, makes me wonder

There's a feeling I get when I look to the west
And my spirit is crying for leaving
In my thoughts, I have seen rings of smoke through the trees
And the voices of those who stand looking

Ooh, it makes me wonder
Ooh, really makes me wonder

And it's whispered that soon if we all call the tune
Then the piper will lead us to reason
And a new day will dawn for those who stand long
And the forests will echo with laughter

Oh-oh-oh-oh-woah-ho

If there's a bustle in your hedgerow, don't be alarmed now
It's just a spring clean for the May queen
Yes, there are two paths you can go by, but in the long run
There's still time to change the road you're on

And it makes me wonder
Ohh, oh-oh

Your head is humming and it won't go, in case you don't know
The piper's calling you to join him
Dear lady, can you hear the wind blow?
And did you know
Your stairway lies on the whispering wind? Oh


And as we wind on down the road
Our shadows taller than our soul
There walks a lady we all know
Who shines white light and wants to show
How everything still turns to gold
And if you listen very hard
The tune will come to you at last
When all are one, and one is all, yeah
To be a rock and not to roll

And she's buying a stairway to Heaven",,https://genius.com/Led-zeppelin-stairway-to-heaven-lyrics,,,melancholic,Spotify: 429 Client Error: Too Many Requests for url: https://api.spotify.com/v1/search?q=track%3AStairway+to+Heaven+artist%3ALed+Zeppelin&type=track&limit=5,genius,0AJ62x1CXjJf3VW25CeZXa,Stairway To Heaven,Led Zeppelin,Led Zeppelin IV,0.213,0.335,84.204,0.346,0.575,0.00674,0.0339,0.185,7.0,1.0,kaggle
Thinkin Bout You,Frank Ocean,"A tornado flew around my room before you came
Excuse the mess it made, it usually doesn't rain in
Southern California, much like Arizona
My eyes don't shed tears, but boy, they pour

When I'm thinkin' 'bout you, ooh, no, no, no
I've been thinkin' 'bout you, you know, know, know
I've been thinkin' 'bout you, do you think about me still?
Do ya, do ya?

Or do you not think so far ahead?
'Cause I been thinkin' 'bout forever, ooh
Or do you not think so far ahead?
'Cause I been thinkin' 'bout forever, ooh

No, I don't like you, I just thought you were cool enough to kick it
Got a beach house I could sell you in Idaho
Since you think I don't love you, I just thought you were cute
That's why I kissed you
Got a fighter jet, I don't get to fly it though

I'm lying down thinkin' 'bout you, ooh, no, no, no
I've been thinkin' 'bout you, you know, know, know
I've been thinkin' 'bout you, do you think about me still? (Do ya, do ya?)
Do ya, do ya? (Do ya, do ya?)

Or do you not think so far ahead?
'Cause I been thinkin' 'bout forever, ooh
Or do you not think so far ahead?
'Cause I been thinkin' 'bout forever, ooh

Yes, of course
I remember, how could I forget (How could I forget)
How you feel? (How you feel?)
You know you were my first time (Time)
A new feel (Down)
It won't ever get old, not in my soul, not in my spirit, keep it alive
We'll go down this road 'til it turns from color to black and white

Or do you not think so far ahead?
'Cause I been thinkin' 'bout forever, ooh
Or do you not think so far ahead?
'Cause I been thinkin' 'bout forever, ooh",,https://genius.com/Frank-ocean-thinkin-bout-you-lyrics,,,melancholic,Spotify: 429 Client Error: Too Many Requests for url: https://api.spotify.com/v1/search?q=track%3AThinkin+Bout+You+artist%3AFrank+Ocean&type=track&limit=5,genius,7DfFc7a6Rwfi3YQMRbDMau,Thinkin Bout You,Frank Ocean,channel ORANGE,0.2,0.339,129.83,0.721,0.409,0.00153,0.0532,0.0973,0.0,1.0,kaggle
Say You Won’t Let Go,James Arthur,"I met you in the dark, you lit me up
You made me feel as though I was enough
We danced the night away, we drank too much
I held your hair back when you were throwin' up

Then you smiled over your shoulder
For a minute, I was stone-cold sober
I pulled you closer to my chest
And you asked me to stay over
I said, ""I already told ya
I think that you should get some rest""

I knew I loved you then, but you'd never know
'Cause I played it cool when I was scared of letting go
I knew I needed you, but I never showed
But I wanna stay with you until we're grey and old

Just say you won't let go
Just say you won't let go

I'll wake you up with some breakfast in bed
I'll bring you coffee with a kiss on your head
And I'll take the kids to school, wave them goodbye
And I'll thank my lucky stars for that night

When you looked over your shoulder
For a minute, I'll forget that I'm older
I wanna dance with you right now, woah
And you look as beautiful as ever
And I swear that every day, you'll get better
You make me feel this way somehow

I'm so in love with you, and I hope you know
Darlin', your love is more than worth its weight in gold
We've come so far, my dear, look how we've grown
And I wanna stay with you until we're grey and old

Just say you won't let go
Just say you won't let go

I wanna live with you even when we're ghosts
'Cause you were always there for me when I needed you most

I'm gonna love you till my lungs give out
I promise till death we part, like in our vows
So I wrote this song for you, now everybody knows
That it's just you and me till we're grey and old

Just say you won't let go
Just say you won't let go
Just say you won't let go
Oh, just say you won't let go",,https://genius.com/James-arthur-say-you-wont-let-go-lyrics,,,chill,Spotify: 429 Client Error: Too Many Requests for url: https://api.spotify.com/v1/search?q=track%3ASay+You+Won%E2%80%99t+Let+Go+artist%3AJames+Arthur&type=track&limit=5,genius,1Pw5C4N6Fn5E4mGCxmbbVa,Say You Won't Let Go,James Arthur,Say You Won't Let Go,0.483,0.564,99.269,0.4,0.693,0.0,0.0523,0.0863,10.0,1.0,kaggle
Focus,H.E.R.,"Me (Me, me, me)
Can you focus on me? (Me, me)
Baby, can you focus on me? (Focus on me)
Babe

Hands in the soap (Soap)
Have the faucets running
And I keep looking at you
(Looking at you, looking at you)
Stuck on your phone
And you're stuck in your zone
You don't have a clue
But I don't wanna give up (Give up, give up)
Baby, I just want you to get up (Get up, get up)
Lately, I've been a little fed up (Fed up, fed up)
Wish you would just focus on

Me
Can you focus on me?
Baby, can you focus on me?
Me, me
Can you focus on me?
Baby, can you focus on me?

Lazy and broke? (Broke)
No, he get this money
So I guess I can't complain
But I feel alone even when we're alone
And that don't cost a thing

But I don't wanna give up
Baby, I just want you to get up
Lately, I've been a little fed up (A little fed up, yeah)
Wish you would just focus on

Me
Can you focus on me? (Ooh, yeah)
Baby, can you focus on me?
Me, me
Can you focus on me?
Baby, can you focus on me?

Baby, baby, focus
Can't you see?
I just wanna love you, baby
Look me in my eyes, ooh",,https://genius.com/Her-focus-lyrics,,,melancholic,Spotify: 429 Client Error: Too Many Requests for url: https://api.spotify.com/v1/search?q=track%3AFocus+artist%3AH.E.R.&type=track&limit=5,genius,3tZs3nVjySLbL320lP4mvs,Focus,H.E.R.,H.E.R.,0.0875,0.313,84.953,0.415,0.255,1.4e-05,0.0561,0.117,1.0,0.0,kaggle
Radioactive,Imagine Dragons,"Woah
Woah
Woah
Woah

I'm waking up to ash and dust
I wipe my brow and I sweat my rust
I'm breathing in the chemicals
Uh, ah

I'm breaking in and shaping up
Then checking out on the prison bus
This is it, the apocalypse
Woah

I'm waking up, I feel it in my bones
Enough to make my system blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age

Woah-oh, woah
I'm radioactive, radioactive
Woah-oh, woah
I'm radioactive, radioactive

I raise my flags, dye my clothes
It's a revolution, I suppose
We're painted red to fit right in
Woah

I'm breaking in and shaping up
Then checking out on the prison bus
This is it, the apocalypse
Woah

I'm waking up, I feel it in my bones
Enough to make my system blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age

Woah-oh, woah
I'm radioactive, radioactive
Woah-oh, woah
I'm radioactive, radioactive

All systems go, the sun hasn't died
Deep in my bones, straight from inside

I'm waking up, I feel it in my bones
Enough to make my system blow
Welcome to the new age, to the new age
Welcome to the new age, to the new age

Woah-oh, woah
I'm radioactive, radioactive
Woah-oh, woah
I'm radioactive, radioactive",,https://genius.com/Imagine-dragons-radioactive-lyrics,,,aggressive,Spotify: 429 Client Error: Too Many Requests for url: https://api.spotify.com/v1/search?q=track%3ARadioactive+artist%3AImagine+Dragons&type=track&limit=5,genius,6Ep6BzIOB9tz3P4sWqiiAB,Radioactive,Imagine Dragons,Night Visions (Deluxe),0.21,0.777,136.249,0.473,0.119,7.87e-05,0.059,0.671,9.0,1.0,kaggle
All of Me,John Legend,"What would I do without your smart mouth?
Drawing me in and you kicking me out
You've got my head spinning, no kidding
I can't pin you down
What's goin' on in that beautiful mind?
I'm on your magical mystery ride
And I'm so dizzy, don't know what hit me
But I'll be alright

My head's under water, but I'm breathing fine
You're crazy and I'm out of my mind

'Cause all of me loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me, I'll give my all to you
You're my end and my beginning
Even when I lose, I'm winning

'Cause I give you all of me
And you give me all of you, oh-oh

How many times do I have to tell you?
Even when you're crying, you're beautiful, too
The world is beating you down, I'm around
Through every mood
You're my downfall, you're my muse
My worst distraction, my rhythm and blues
I can't stop singing, it's ringing
In my head for you

My head's under water, but I'm breathing fine
You're crazy and I'm out of my mind

'Cause all of me loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me, I'll give my all to you
You're my end and my beginning
Even when I lose, I'm winning

'Cause I give you all of me
And you give me all of you, oh-oh

Give me all of you, oh
Cards on the table, we're both showing hearts
Risking it all, though it's hard

'Cause all of me loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me, I'll give my all to you
You're my end and my beginning
Even when I lose, I'm winning

'Cause I give you all of me
And you give me all of you

I give you all of me
And you give me all of you, oh-oh",,https://genius.com/John-legend-all-of-me-lyrics,,,melancholic,Spotify: 429 Client Error: Too Many Requests for url: https://api.spotify.com/v1/search?q=track%3AAll+of+Me+artist%3AJohn+Legend&type=track&limit=5,genius,3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,Love In The Future (Expanded Edition),0.331,0.264,119.93,0.422,0.922,0.0,0.0322,0.132,8.0,1.0,kaggle
Halo,Beyoncé,"Remember those walls I built?
Well, baby, they're tumblin' down
And they didn't even put up a fight
They didn't even make a sound
I found a way to let you in
But I never really had a doubt
Standin' in the light of your halo
I got my angel now

It's like I've been awakened
Every rule, I had you breakin'
It's the risk that I'm takin'
I ain't ever gonna shut you out

Everywhere I'm lookin' now
I'm surrounded by your embrace
Baby, I can see your halo
You know you're my savin' grace
You're everything I need and more
It's written all over your face
Baby, I can feel your halo
Pray it won't fade away

I can feel your halo, halo, halo
I can see your halo, halo, halo
I can feel your halo, halo, halo
I can see your halo, halo, halo, ooh

Hit me like a ray of sun
Burnin' through my darkest night
You're the only one that I want
Think I'm addicted to your light
I swore I'd never fall again
But this don't even feel like fallin'
Gravity can't begin
To pull me back to the ground again

It's like I've been awakened
Every rule, I had you breakin'
The risk that I'm takin'
I'm never gonna shut you out

Everywhere I'm lookin' now
I'm surrounded by your embrace
Baby, I can see your halo
You know you're my savin' grace
You're everything I need and more
It's written all over your face
Baby, I can feel your halo
Pray it won't fade away

I can feel your halo, halo, halo
I can see your halo, halo, halo
I can feel your halo, halo, halo
I can see your halo, halo, halo, ooh
I can feel your halo, halo, halo
I can see your halo, halo, halo
I can feel your halo, halo, halo
I can see your halo, halo, halo, ooh

Halo, ooh
Halo, ooh
Ooh

Everywhere I'm lookin' now
I'm surrounded by your embrace
Baby, I can see your halo
You know you're my savin' grace
You're everything I need and more
It's written all over your face
Baby, I can feel your halo
Pray it won't fade away

I can feel your halo, halo, halo
I can see your halo, halo, halo
I can feel your halo, halo, halo
I can see your halo, halo, halo, ooh
I can feel your halo, halo, halo
I can see your halo, halo, halo
I can feel your halo, halo, halo
I can see your halo, halo, halo, ooh",,https://genius.com/Beyonce-halo-lyrics,,,energetic,Spotify: 429 Client Error: Too Many Requests for url: https://api.spotify.com/v1/search?q=track%3AHalo+artist%3ABeyonc%C3%A9&type=track&limit=5,genius,4JehYebiI9JE8sR8MisGVb,Halo,Beyoncé,I AM...SASHA FIERCE,0.472,0.72,79.983,0.508,0.272,0.0,0.0628,0.0563,11.0,0.0,kaggle
Comfortably Numb,Pink Floyd,"Hello? (Hello, hello, hello)
Is there anybody in there?
Just nod if you can hear me
Is there anyone home?
Come on (Come on, come on), now
I hear you're feeling down
Well, I can ease your pain
And get you on your feet again
Relax (Relax, relax, relax)
I'll need some information first
Just the basic facts
Can you show me where it hurts?

There is no pain, you are receding
A distant ship, smoke on the horizon
You are only coming through in waves
Your lips move, but I can't hear what you're saying
When I was a child, I had a fever
My hands felt just like two balloons
Now I've got that feeling once again
I can't explain, you would not understand
This is not how I am

I have become comfortably numb


I have become comfortably numb

Okay (Okay, okay, okay)
Just a little pinprick
There'll be no more
But you may feel a little sick
Can you stand up? (Stand up, stand up)
I do believe it's working, good
That'll keep you going through the show
Come on, it's time to go

There is no pain, you are receding
A distant ship, smoke on the horizon
You are only coming through in waves
Your lips move, but I can't hear what you're saying
When I was a child, I caught a fleeting glimpse
Out of the corner of my eye
I turned to look, but it was gone
I cannot put my finger on it now
The child is grown, the dream is gone

I have become comfortably numb",,https://genius.com/Pink-floyd-comfortably-numb-lyrics,,,melancholic,Spotify: 429 Client Error: Too Many Requests for url: https://api.spotify.com/v1/search?q=track%3AComfortably+Numb+artist%3APink+Floyd&type=track&limit=5,genius,5HNCy40Ni5BZJFw1TKzRsC,Comfortably Numb,Pink Floyd,The Wall,0.171,0.366,127.167,0.472,0.15,0.308,0.0286,0.0837,11.0,0.0,kaggle
Enter Sandman,Metallica,"Say your prayers, little one, don't forget, my son
To include everyone
I tuck you in, warm within, keep you free from sin
'Til the Sandman, he comes

Sleep with one eye open
Gripping your pillow tight

Exit light
Enter night
Take my hand
We're off to never-never land

Something's wrong, shut the light, heavy thoughts tonight
And they aren't of Snow White
Dreams of war, dreams of liars, dreams of dragons' fire
And of things that will bite, yeah

Sleep with one eye open
Gripping your pillow tight

Exit light
Enter night
Take my hand
We're off to never-never land, yeah


Now, I lay me down to sleep
Now, I lay me down to sleep
Pray the Lord my soul to keep
Pray the Lord my soul to keep
If I die before I wake
If I die before I wake
Pray the Lord my soul to take
Pray the Lord my soul to take

Hush little baby, don't say a word
And never mind that noise you heard
It's just the beasts under your bed
In your closet, in your head

Exit light
Enter night
Grain of sand
Exit light
Enter night
Take my hand
We're off to never-never land
(Yeah, haha haha)

Oh, yeah-yeah, yo-oh
We're off to never-never land
Take my hand
We're off to never-never land
Take my hand
We're off to never-never land
We're off to never-never land
We're off to never-never land
We're off to never-never land",,https://genius.com/Metallica-enter-sandman-lyrics,,,energetic,Spotify: 429 Client Error: Too Many Requests for url: https://api.spotify.com/v1/search?q=track%3AEnter+Sandman+artist%3AMetallica&type=track&limit=5,genius,5BIMPccDwShpXq784RJlJp,Enter Sandman,Metallica,Metallica,0.635,0.824,123.331,0.579,0.00206,0.00903,0.03,0.059,6.0,0.0,kaggle
Perfect,Ed Sheeran,"I found a love for me
Oh, darlin', just dive right in and follow my lead
Well, I found a girl, beautiful and sweet
Oh, I never knew you were the someone waitin' for me

'Cause we were just kids when we fell in love
Not knowin' what it was
I will not give you up this time
But, darlin', just kiss me slow
Your heart is all I own
And in your eyes, you're holdin' mine

Baby, I'm dancin' in the dark with you between my arms
Barefoot on the grass while listenin' to our favourite song
When you said you looked a mess, I whispered underneath my breath
But you heard it, ""Darlin', you look perfect tonight""

Well, I found a woman stronger than anyone I know
She shares my dreams, I hope that, someday, I'll share her home
I found a love to carry more than just my secrets
To carry love, to carry children of our own

We are still kids, but we're so in love
Fightin' against all odds
I know we'll be alright this time
Darlin', just hold my hand
Be my girl, I'll be your man
I see my future in your eyes

Baby, I'm dancin' in the dark with you between my arms
Barefoot on the grass while listenin' to our favourite song
When I saw you in that dress, lookin' so beautiful
I don't deserve this, darlin', you look perfect tonight

No, no, no
Mm, no, no

Baby, I'm dancin' in the dark with you between my arms
We're barefoot on the grass, oh, listenin' to our favourite song
I have faith in what I see, now I know I have met
An angel in person and she looks perfect
I don't deserve this, you look perfect tonight",,https://genius.com/Ed-sheeran-perfect-lyrics,,,dark,Spotify: 429 Client Error: Too Many Requests for url: https://api.spotify.com/v1/search?q=track%3APerfect+artist%3AEd+Sheeran&type=track&limit=5,genius,0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,÷ (Deluxe),0.168,0.448,95.05,0.599,0.163,0.0,0.0232,0.106,8.0,1.0,kaggle
